upstream_symbol	parser_access	source_locations	moonbit_implementation	test_location	status
NodeFactory.createTypeOfExpression	direct factory call	src/compiler/parser.ts:5705	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createTypeOperatorNode	direct factory call	src/compiler/parser.ts:4755	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTypeParameterDeclaration	direct factory call	src/compiler/parser.ts:3982, src/compiler/parser.ts:4407, src/compiler/parser.ts:4771, src/compiler/parser.ts:9848	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTypePredicateNode	direct factory call	src/compiler/parser.ts:3827, src/compiler/parser.ts:4917, src/compiler/parser.ts:4937	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTypeQueryNode	direct factory call	src/compiler/parser.ts:3952	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTypeReferenceNode	direct factory call	src/compiler/parser.ts:3800, src/compiler/parser.ts:3886	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createUnionTypeNode	direct factory call	src/compiler/parser.ts:4844	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createVariableDeclaration	captured as factoryCreateVariableDeclaration	src/compiler/parser.ts:1497	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createVariableDeclarationList	captured as factoryCreateVariableDeclarationList	src/compiler/parser.ts:1498	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createVariableStatement	captured as factoryCreateVariableStatement	src/compiler/parser.ts:1491	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createVoidExpression	direct factory call	src/compiler/parser.ts:5710	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createWhileStatement	captured as factoryCreateWhileStatement	src/compiler/parser.ts:1494	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createWithStatement	direct factory call	src/compiler/parser.ts:7009	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createYieldExpression	direct factory call	src/compiler/parser.ts:5183, src/compiler/parser.ts:5193	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
