upstream_symbol	code	category	message	placeholder_count	reachability	source_locations	moonbit_implementation	test_location	status
Diagnostics.This_backreference_refers_to_a_group_that_does_not_exist_There_are_only_0_capturing_groups_in_this_regular_expression	1533	Error	This backreference refers to a group that does not exist. There are only {0} capturing groups in this regular expression.	1	scanner_report_errors_only	src/compiler/scanner.ts:3602	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.This_backreference_refers_to_a_group_that_does_not_exist_There_are_no_capturing_groups_in_this_regular_expression	1534	Error	This backreference refers to a group that does not exist. There are no capturing groups in this regular expression.	0	scanner_report_errors_only	src/compiler/scanner.ts:3605	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.This_character_cannot_be_escaped_in_a_regular_expression	1535	Error	This character cannot be escaped in a regular expression.	0	scanner_report_errors_only	src/compiler/scanner.ts:1702	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Octal_escape_sequences_and_backreferences_are_not_allowed_in_a_character_class_If_this_was_intended_as_an_escape_sequence_use_the_syntax_0_instead	1536	Error	Octal escape sequences and backreferences are not allowed in a character class. If this was intended as an escape sequence, use the syntax '{0}' instead.	1	scanner_report_errors_only	src/compiler/scanner.ts:1583	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Decimal_escape_sequences_and_backreferences_are_not_allowed_in_a_character_class	1537	Error	Decimal escape sequences and backreferences are not allowed in a character class.	0	scanner_report_errors_only	src/compiler/scanner.ts:1597	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unicode_escape_sequences_are_only_available_when_the_Unicode_u_flag_or_the_Unicode_Sets_v_flag_is_set	1538	Error	Unicode escape sequences are only available when the Unicode (u) flag or the Unicode Sets (v) flag is set.	0	scanner_report_errors_only	src/compiler/scanner.ts:1629	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Interface_name_cannot_be_0	2427	Error	Interface name cannot be '{0}'.	1	public_parser	src/compiler/parser.ts:2395	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Type_alias_name_cannot_be_0	2457	Error	Type alias name cannot be '{0}'.	1	public_parser	src/compiler/parser.ts:2408	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_AMD_module_cannot_have_multiple_name_assignments	2458	Error	An AMD module cannot have multiple name assignments.	0	public_parser	src/compiler/parser.ts:10667	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.JSX_expressions_must_have_one_parent_element	2657	Error	JSX expressions must have one parent element.	0	public_parser	src/compiler/parser.ts:6118	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.super_may_not_use_type_arguments	2754	Error	'super' may not use type arguments.	0	public_parser	src/compiler/parser.ts:6030	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Declaration_or_statement_expected_This_follows_a_block_of_statements_so_if_you_intended_to_write_a_destructuring_assignment_you_might_need_to_wrap_the_whole_assignment_in_parentheses	2809	Error	Declaration or statement expected. This '=' follows a block of statements, so if you intended to write a destructuring assignment, you might need to wrap the whole assignment in parentheses.	0	public_parser	src/compiler/parser.ts:6835	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Namespace_name_cannot_be_0	2819	Error	Namespace name cannot be '{0}'.	1	public_parser	src/compiler/parser.ts:2404	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Numeric_separators_are_not_allowed_here	6188	Error	Numeric separators are not allowed here.	0	scanner_public_parser	src/compiler/scanner.ts:1191, src/compiler/scanner.ts:1208, src/compiler/scanner.ts:1240, src/compiler/scanner.ts:1394, src/compiler/scanner.ts:1417, src/compiler/scanner.ts:1849, src/compiler/scanner.ts:1864	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Multiple_consecutive_numeric_separators_are_not_permitted	6189	Error	Multiple consecutive numeric separators are not permitted.	0	scanner_public_parser	src/compiler/scanner.ts:1188, src/compiler/scanner.ts:1391, src/compiler/scanner.ts:1846	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.The_0_modifier_can_only_be_used_in_TypeScript_files	8009	Error	The '{0}' modifier can only be used in TypeScript files.	1	json_wrapper	src/compiler/commandLineParser.ts:2503	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_JSDoc_typedef_comment_may_not_contain_multiple_type_tags	8033	Error	A JSDoc '@typedef' comment may not contain multiple '@type' tags.	0	public_parser	src/compiler/parser.ts:9631	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.The_tag_was_first_specified_here	8034	Error	The tag was first specified here.	0	public_parser	src/compiler/parser.ts:9633	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_JSDoc_template_tag_may_not_follow_a_typedef_callback_or_overload_tag	8039	Error	A JSDoc '@template' tag may not follow a '@typedef', '@callback', or '@overload' tag	0	public_parser	src/compiler/parser.ts:9456, src/compiler/parser.ts:9697	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_corresponding_JSX_closing_tag_for_0	17002	Error	Expected corresponding JSX closing tag for '{0}'.	1	public_parser	src/compiler/parser.ts:6088	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_unary_expression_with_the_0_operator_is_not_allowed_in_the_left_hand_side_of_an_exponentiation_expression_Consider_enclosing_the_expression_in_parentheses	17006	Error	An unary expression with the '{0}' operator is not allowed in the left-hand side of an exponentiation expression. Consider enclosing the expression in parentheses.	1	public_parser	src/compiler/parser.ts:5776	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_type_assertion_expression_is_not_allowed_in_the_left_hand_side_of_an_exponentiation_expression_Consider_enclosing_the_expression_in_parentheses	17007	Error	A type assertion expression is not allowed in the left-hand side of an exponentiation expression. Consider enclosing the expression in parentheses.	0	public_parser	src/compiler/parser.ts:5772	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.JSX_element_0_has_no_corresponding_closing_tag	17008	Error	JSX element '{0}' has no corresponding closing tag.	1	public_parser	src/compiler/parser.ts:6084, src/compiler/parser.ts:6146	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.JSX_fragment_has_no_corresponding_closing_tag	17014	Error	JSX fragment has no corresponding closing tag.	0	public_parser	src/compiler/parser.ts:6139	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_corresponding_closing_tag_for_JSX_fragment	17015	Error	Expected corresponding closing tag for JSX fragment.	0	public_parser	src/compiler/parser.ts:6359	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unicode_escape_sequence_cannot_appear_here	17021	Error	Unicode escape sequence cannot appear here.	0	public_parser	src/compiler/parser.ts:2698	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Private_identifiers_cannot_be_used_as_parameters	18009	Error	Private identifiers cannot be used as parameters.	0	public_parser	src/compiler/parser.ts:4004	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Private_identifiers_are_not_allowed_outside_class_bodies	18016	Error	Private identifiers are not allowed outside class bodies.	0	public_parser	src/compiler/parser.ts:2661	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.can_only_be_used_at_the_start_of_a_file	18026	Error	'#!' can only be used at the start of a file.	0	scanner_public_parser	src/compiler/scanner.ts:2326	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Private_identifiers_are_not_allowed_in_variable_declarations	18029	Error	Private identifiers are not allowed in variable declarations.	0	public_parser	src/compiler/parser.ts:7652	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_optional_chain_cannot_contain_private_identifiers	18030	Error	An optional chain cannot contain private identifiers.	0	public_parser	src/compiler/parser.ts:6422	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
